p2518	t1735
p6643	t3209
p4120	t40
p38	t388
p12133	t546
p3333	t490
p7830	a12667
p10937	a4185
p6699	t3332
p6173	t817
p1782	a3230
p6118	a5043
p603	t62
p8589	t2576
p3921	t36
p7002	t2210
p8222	t659
p13801	a7899
p2097	a4872
p8230	c11
p4606	a11481
p993	t2258
p3733	t6591
p4064	t19
p1414	t197
p885	a2822
p1656	a7676
p2191	t4144
p11451	t168
p3560	t327
p13574	t1160
p2219	t2273
p14214	t492
p11146	t57
p915	t60
p7034	t33
p13434	t19
p10499	a3887
p13710	t481
p8354	c11
p6114	t221
p65	a1179
p5704	t2793
p11579	a803
p9997	t43
p7960	t443
p12065	c17
p9580	t617
p7839	t79
p8168	t144
p6667	t338
p11613	t3610
p1736	t1052
p7456	t1728
p304	t106
p7098	a3379
p8881	t224
p9982	a519
p875	t40
p3315	a5838
p2466	a8895
p3268	t1129
p2968	t2216
p6495	t591
p8529	a12987
p5919	c10
p8444	t33
p12640	t659
p6435	t330
p5801	a2177
p12917	a5893
p10476	t4561
p10393	a7860
p10041	a13314
p3359	t483
p7877	t458
p1992	a1372
p5072	c8
p5140	t1354
p3768	t392
p10531	t535
p734	t57
p8682	a9678
p9536	t320
p236	t426
p8466	a263
p8946	t211
p2660	c4
p12929	a6831
p12596	a10141
p1086	t3603
p2797	t4
p641	a2424
p13305	t1204
p4080	a721
p6521	a1968
p669	t1181
p11916	t669
p3365	t556
p8239	a446
p9636	t731
p8491	t1155
p6242	t613
p550	t364
p6552	t496
p2273	a7795
p8311	t33
p3766	t234
p209	t1667
p3919	t3103
p9041	c13
p8131	t2266
p13199	t4
p885	t1813
p2571	t650
p5942	c10
p37	t386
p8853	a3687
p12220	t601
p13456	t625
p12827	t53
p9888	t106
p13948	c18
p2004	a6604
p10983	t2248
p11879	t101
p11453	t2055
p9251	a9324
p12021	t4
p9220	t1079
p6736	t685
p464	t9
p6577	t60
p14045	t2114
p343	t746
p14225	a684
p10063	t187
p5127	a313
p438	t2714
p6763	c10
p10183	t60
p9610	a11565
p5884	t373
p3500	t3349
p11353	t449
p5827	t12
p4986	a4395
p14099	a11132
p12626	a5645
p8303	t53
p6058	a1400
p4792	t1255
p5828	t492
p11007	t36
p8425	t1136
p8394	t613
p6640	t286
p11940	t483
p3056	a4780
p1431	t284
p3794	t882
p11065	t60
p6467	a9804
p4846	t6470
p1266	t3765
p4486	t1661
p2488	t363
p13817	a795
p1290	c1
p9682	t4
p1139	t3642
p14062	t4260
p10474	t1321
p12340	t601
p4677	t4
p9750	a6150
p8746	t580
p4378	a4649
p2905	t4
p6201	t33
p10627	a1983
p13968	t426
p8968	a1849
p879	t1269
p6041	t1821
p8962	t4
p2850	t4765
p5837	t1689
p3607	c7
p3850	t36
p3633	c7
p11097	t831
p5886	a2244
p7601	t1543
p9500	t19
p13390	t555
p7757	t426
p13991	t769
p9628	t284
p6619	t337
p8521	a4395
p12752	t4
p6446	t9
p849	c1
p11124	t33
p9629	t460
p312	t380
p11852	a6692
p5935	t19
p2501	t453
p3809	t358
p6200	t297
p9686	t1004
p2156	t367
p3742	t343
p11407	a13764
p7369	t19
p3932	t7054
p9048	t1992
p12872	t4
p10530	t3058
p3910	t3928
p995	t3484
p12145	c17
p4883	t3435
p4902	t1846
p11511	t43
p3612	t53
p11870	t503
p13319	t1129
p6399	c10
p570	t43
p13619	a9726
p8319	t1180
p3161	t425
p6057	a1400
p517	t1176
p120	t1350
p13986	t2960
p13726	t2022
p8787	a10307
p847	t3320
p6353	t19
p10125	t527
p8472	c12
p12433	a7489
p11462	t2055
p5333	t263
p4857	t417
p11911	t4
p1666	a6991
p10561	c16
p2238	t1461
p12385	t2055
p12816	t8247
p8302	t6611
p12123	t1120
p5307	c9
p13374	t4240
p1205	t507
p9986	a3971
p12145	t710
p4209	c7
p1503	t1531
p547	c1
p1388	a3507
p2058	t150
p6717	t43
p4075	a797
p688	a2358
p2446	t361
p9534	a11467
p10283	c16
p14273	a336
p11371	t43
p331	c1
p11723	t112
p5834	t19
p2064	t36
p9420	t1
p5427	t481
p5470	t60
p7954	t4551
p9995	t4076
p1648	t106
p1570	t3889
p2466	t93
p12046	t78
p12849	a9161
p5722	t2986
p1302	t311
p1204	t901
p12048	a420
p13268	a10627
p3085	t90
p4605	t327
p4333	t1052
p13819	t330
p1321	t182
p3582	t536
p13296	t857
p14032	a678
p3236	t5129
p14314	t106
p6852	t60
p5931	t33
p3946	a3887
p2470	t179
p10052	a13318
p1680	t19
p1784	t60
p10197	t7377
p3209	a5544
p13753	a6092
p12346	a3101
p2197	t634
p3367	t1827
p8628	t426
p4508	t8775
p10648	a126
p2578	c4
p5450	c9
p8765	t2729
p11439	t1
p3804	t798
p11201	a8627
p12796	t1827
p10991	c16
p10024	t19
p2157	t698
p14084	t51
p13533	t802
p14068	t19
p14017	t283
p8860	t4
p575	t1097
p5582	t36
p11469	t166
p5287	c9
p6019	a6601
p4639	t345
p11681	t487
p12868	c18
p14328	t4
p7126	a12359
p8058	a12751
p9360	t2806
p9024	t4216
p9932	a13153
p4634	t458
p12690	t474
p7943	t501
p861	t221
p3997	a7479
p10917	t768
p5077	a5430
p13164	t1241
p11739	t245
p4135	a6119
p13388	t503
p8497	t106
p330	a260
p714	a2551
p398	t180
p1188	t325
p9337	t1403
p6187	t128
p12531	a11365
p6538	t289
p12486	a3681
p13610	t576
p2897	t78
p936	t2823
p1905	t591
p7366	t4496
p9997	t597
p8903	t431
p13360	t7591
p12314	t103
p5025	c8
p7294	c10
p7720	t33
p6056	t1550
p12590	a10426
p6414	a5626
p2177	t601
p2834	t520
p14169	a7691
p4580	a1760
p6408	a2021
p12857	t53
p2377	t3
p4262	t60
p625	t115
p834	t912
p13978	t503
p6801	t43
p9340	t2412
p7353	t484
p5394	t1932
p1731	t395
p2677	t2248
p2277	a6126
p12080	t8016
p12307	c17
p184	t146
p11504	t617
p3340	t252
p2015	a887
p12199	t617
p11746	a13844
p2519	t768
p5952	a1008
p13022	t359
p939	a2589
p2302	a8317
p10001	t510
p8752	t4149
p4231	a4754
p3315	t5182
p6323	t182
p7495	c10
p12695	a6736
p977	t180
p10854	t536
p7280	t6334
p10859	a12469
p47	t78
p8585	t458
p8551	a4780
p3048	t483
p12403	a1905
p2143	t19
p320	a1779
p2986	t112
p7618	a12449
p8657	t19
p3374	t1033
p14196	t873
p10336	t481
p12613	t19
p14052	a13289
p10086	t7330
p8437	t6814
p7497	t78
p7412	a278
p9738	a82
p11233	a6603
p5198	a11754
p12614	a13222
p8254	a1123
p1546	a1123
p2795	c5
p6942	t3895
p8689	t811
p95	t4
p13982	a6762
p1271	a3052
p1048	c1
p12235	a9605
p6989	a2823
p7442	t3786
p7790	c11
p6674	t37
p1993	t43
p10403	t24
p8807	t36
p9991	t19
p12559	t369
p3566	t5758
p12834	t78
p13275	t495
p9763	t51
p3988	t4
p10146	a9435
p1584	t3345
p12590	t4927
p2168	t2030
p511	t2849
p10534	a13480
p7167	t225
p4716	t136
p7554	a3480
p6566	t495
p11893	t661
p8355	a6544
p5319	t4731
p3174	t426
p12382	t106
p10222	t5078
